,RULEXJ,CAM,GCM,MAPP,QEst,RGuess
0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.0,0.0,1.0,6.238124684022771e-25,0.0,0.0
2,0.0,0.0,2.2101408703179004e-08,1.0,0.0,0.0
3,0.0,0.0,1.0,0.0,0.0,6.305642632662579e-32
4,0.0,0.0,0.9984750151634216,0.0,0.0,0.001524925697594881
5,0.0,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,1.0,0.0,0.0,0.0
7,0.0,0.0,1.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,1.0,0.0,0.0,0.0
10,0.0,0.0,1.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,7.4859461734104705e-22,1.0,0.0,0.0
13,0.0,0.0,1.0,0.0,0.0,0.0
14,0.0,0.0,3.8320613331567065e-15,0.0,0.0,1.0
15,0.0,0.0,0.0,0.0,0.0,1.0
16,0.0,0.0,0.0,0.0,0.0,1.0
17,0.0,0.0,1.0,0.0,0.0,0.0
18,0.0,0.0,1.0,0.0,0.0,0.0
19,0.0,0.0,1.0,0.0,0.0,0.0
20,0.0,8.311672024852917e-37,0.0,1.0,0.0,3.0391585057478572e-21
21,0.0,0.0,0.0,6.239704492438597e-37,0.0,1.0
22,0.0,0.0,1.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,1.0
24,0.0,0.0,1.0,0.0,0.0,1.5151698833017632e-37
25,0.0,0.0,0.0,0.0,0.0,1.0
26,0.0,0.0,0.0,0.0,0.0,1.0
27,0.0,0.0,1.0,0.0,0.0,1.359384217101896e-26
28,0.0,0.0,0.0,0.0,0.0,1.0
29,0.0,0.0,1.8643999677436796e-09,1.3097049667010197e-08,0.0,1.0
30,0.0,0.0,1.0,0.0,0.0,0.0
31,0.0,0.0,1.0,0.0,0.0,0.0
32,0.0,0.0,1.0,0.0,0.0,0.0
33,0.0,0.0,0.0,1.4989162823398681e-24,0.0,1.0
34,0.0,0.0,1.0,0.0,0.0,0.0
35,0.0,0.0,1.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,1.0
37,0.0,0.0,1.0,0.0,0.0,0.0
38,0.0,0.0,7.073486746550228e-35,1.0,0.0,1.7217467637285006e-29
39,0.0,0.0,1.0,0.0,0.0,0.0
40,0.0,0.0,0.0,1.0,0.0,2.733204628696269e-40
41,0.0,0.0,1.0,0.0,0.0,0.0
42,0.0,0.0,3.4148215795587817e-25,6.986414103109717e-27,0.0,1.0
43,0.0,0.0,0.0,1.0,0.0,0.0
44,0.0,0.0,0.0,1.0,0.0,0.0
45,0.0,0.0,1.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,1.0
47,0.0,0.0,3.095468307693521e-42,0.0,0.0,1.0
