,RULEXJ,CAM,GCM,MAPP,QEst,RGuess,MGuess
0,0.04160190746188164,0.17316371202468872,0.014491730369627476,0.7252897024154663,0.024599213153123856,0.010728219524025917,0.010125594213604927
1,0.11386297643184662,0.3272148370742798,0.0012304014526307583,0.014268361032009125,0.5422918200492859,0.0002685262297745794,0.000863000052049756
2,0.05081279203295708,0.30904635787010193,0.002004517475143075,0.6364508271217346,0.0012282268144190311,0.00011642705067060888,0.00034087488893419504
3,0.24127565324306488,0.6316102147102356,0.0585528127849102,0.03462536260485649,0.032730285078287125,0.0003061789902858436,0.0008994279196485877
4,0.1356169432401657,0.7886409163475037,0.003207293339073658,0.04341665655374527,0.002459593117237091,0.0020972329657524824,0.024561341851949692
5,0.16115635633468628,0.4771686792373657,0.01863102987408638,0.3333432972431183,0.003021012991666794,0.00024754522019065917,0.006431958172470331
6,0.02068898268043995,0.04771118611097336,0.004582217428833246,0.8717309236526489,0.05418644845485687,0.0002337558107683435,0.0008664809283800423
7,0.0008324864902533591,0.0003393324732314795,0.0005377305787988007,0.998245358467102,2.602811946417205e-05,3.743888782992144e-06,1.534998773422558e-05
8,0.22770309448242188,0.7719713449478149,9.83559075393714e-05,7.493756129406393e-05,1.4346042917168234e-05,1.457161306461785e-05,0.00012336947838775814
9,0.011269261129200459,0.023302331566810608,0.0018143703928217292,0.96277916431427,0.00045070162741467357,6.70459121465683e-05,0.0003171659482177347
10,0.14314770698547363,0.08431435376405716,0.5751941204071045,0.19247545301914215,0.0037010428495705128,0.00045769053394906223,0.0007096452754922211
11,0.13539189100265503,0.5584288835525513,0.0012644773814827204,0.0019991211593151093,0.30220547318458557,0.0001286928600165993,0.0005814895266667008
12,0.03659746050834656,0.10477085411548615,0.03805210068821907,0.8079159259796143,0.010606144554913044,0.0002619143051560968,0.0017955850344151258
13,0.03610933944582939,0.027521317824721336,0.0637851133942604,0.8651337027549744,0.0007160485256463289,0.0009100979659706354,0.0058244154788553715
14,0.004922676365822554,0.023916058242321014,0.0031843381002545357,0.967451810836792,1.6222104022745043e-05,7.272850052686408e-05,0.0004360498860478401
15,0.17728306353092194,0.8033885359764099,0.0008321027853526175,0.0011927236337214708,0.013533594086766243,0.00010178014053963125,0.0036682651843875647
16,0.10799460113048553,0.42126017808914185,0.008948329836130142,0.20829463005065918,0.22319240868091583,0.013857230544090271,0.016452671959996223
17,0.031901340931653976,0.1523021161556244,0.011694127693772316,0.800833523273468,0.0026445987168699503,0.00027681171195581555,0.00034740768023766577
18,0.20617465674877167,0.5111917853355408,0.10542666167020798,0.16979864239692688,0.004858480300754309,0.001715232152491808,0.0008345414535142481
19,0.004508325830101967,0.03217199444770813,0.00031364121241495013,0.9481686949729919,0.01363417599350214,0.00013436461449600756,0.0010686987079679966
20,0.079104483127594,0.5076223611831665,0.027326621115207672,0.3721906840801239,0.006714723072946072,0.0020250820089131594,0.005016071256250143
21,0.03420629724860191,0.1712072789669037,0.013839693740010262,0.7600722312927246,0.013241956941783428,0.0015882084844633937,0.0058443560265004635
22,0.00029679411090910435,0.0018005113815888762,5.099293412058614e-05,0.997696578502655,7.385289063677192e-05,1.7754196960595436e-05,6.34666284895502e-05
23,4.210240513202734e-05,0.00012699441867880523,6.30992735750624e-06,0.9998010993003845,2.7369577537683654e-07,1.1598197488638107e-05,1.162625994766131e-05
24,0.0008312807185575366,0.0007746437913738191,0.0005793514428660274,0.9943109750747681,3.4795379178831354e-05,0.00019411674293223768,0.003274829825386405
25,0.1897592544555664,0.767822802066803,0.002607223577797413,0.00762657355517149,0.03149308264255524,5.019811214879155e-05,0.0006409402703866363
26,7.941950025269762e-05,9.69850443652831e-05,4.9326281441608444e-05,0.9997612833976746,1.1557985857280073e-07,6.867749561934033e-06,5.951221282884944e-06
27,0.1806393712759018,0.04069668427109718,0.7328280806541443,0.039628248661756516,0.0020463268738240004,0.0007743424503132701,0.0033869841136038303
28,0.2661474943161011,0.6948767900466919,0.0123874107375741,0.009580445475876331,0.00021005142480134964,0.0002999653806909919,0.01649785041809082
29,1.7229492641490651e-06,4.920101218885975e-06,1.2861102050010231e-07,0.9999808073043823,4.0637740994498017e-07,7.273029609677906e-07,1.1357647053955588e-05
30,0.0010701193241402507,0.003328478429466486,0.00011628504580585286,0.995429277420044,7.721534529991914e-06,4.359077593107941e-06,4.384315980132669e-05
31,2.5492881832178682e-05,0.00010697312245611101,1.4983791515987832e-05,0.9983952641487122,2.4505488909198903e-05,0.0013929610140621662,3.9761354855727404e-05
32,0.11534731090068817,0.4399932324886322,0.011320599354803562,0.43205028772354126,0.0003830837958958,0.00032743869815021753,0.0005780924111604691
33,6.79749382470618e-06,2.320827479707077e-05,4.900589374301489e-07,0.9999663829803467,1.3522530650789122e-07,5.023607059229107e-07,2.560606617407757e-06
34,0.15778084099292755,0.7973369359970093,0.015159783884882927,0.02278309501707554,0.0038327451329678297,0.0017961709527298808,0.0013104561949148774
35,0.15004394948482513,0.23821337521076202,0.04759952053427696,0.4619421064853668,0.1006915420293808,0.0004491192230489105,0.0010603375267237425
36,0.002754923654720187,0.015153915621340275,0.0007359111914411187,0.9805219173431396,0.00031287441379390657,2.330809729755856e-05,0.0004972066963091493
37,0.2686907649040222,0.2236192226409912,0.4997084140777588,0.0022903422359377146,0.0028554429300129414,0.0007661964627914131,0.002069606678560376
38,6.493552973552141e-06,5.075116132502444e-05,8.694356523619717e-08,0.9999356269836426,5.048158982390305e-06,5.234719537838828e-07,1.5138051594476565e-06
39,0.1733424961566925,0.05271897092461586,0.7705042362213135,0.0018630186095833778,0.0002314712037332356,0.0003467971400823444,0.0009929609950631857
40,0.10671757161617279,0.6202985048294067,0.0014522233977913857,0.2437560111284256,0.006140764337033033,0.0006526921060867608,0.020982205867767334
41,0.000200507216504775,0.001140507753007114,2.7800593670690432e-05,0.9984910488128662,8.669171620567795e-06,8.70777148520574e-05,4.4230760977370664e-05
42,0.26196998357772827,0.6233974099159241,0.02051692083477974,0.06103820726275444,0.004981184843927622,0.0014060251414775848,0.02669031359255314
43,0.012011807411909103,0.03412238508462906,0.005001815501600504,0.9089567065238953,0.012809856794774532,0.0007591028697788715,0.026338212192058563
44,0.001182444510050118,0.006762358359992504,0.000268137693637982,0.9912651181221008,0.00010706626926548779,3.777071469812654e-05,0.00037707245792262256
45,0.19752982258796692,0.4141807556152344,0.16527220606803894,0.115785613656044,0.0736861452460289,0.002465390134602785,0.031080102548003197
46,0.003593945410102606,0.019528718665242195,4.586509749060497e-05,0.9754285216331482,1.6584834156674333e-05,0.00011686747166095302,0.0012694636825472116
47,0.15666423738002777,0.09394398331642151,0.5687128305435181,0.16064877808094025,0.015684736892580986,0.0007081874064169824,0.003637322224676609
