domain;ID_n;best_mod_ind;best_mod_pmp;best_mod;ID
Countries;41;1;0,564884066581726;RULEXJ;i6xr02yzsoee
Countries;42;3;0,698239564895630;GCM;8pxa6oh4ylfk
Countries;43;3;0,329273849725723;GCM;5p4nqbumcod1
Countries;44;1;0,918370842933655;RULEXJ;nxibx285n3rn
Countries;45;3;0,857351183891296;GCM;kesc2p7oa7me
Countries;46;3;0,730712771415710;GCM;okeobbnlodto
Countries;47;1;0,820702850818634;RULEXJ;sbydcgc89frj
Countries;48;2;0,733252942562103;CAM;vzgw3yufjpr4
Mammals;1;4;0,944619536399841;MAPP;chp46vl70814
Mammals;2;3;0,814252674579620;GCM;apzvrxiaap22
Mammals;3;3;0,809521257877350;GCM;dp0g9nbjr8wo
Mammals;4;3;0,949659705162048;GCM;ch1i36lf3gb1
Mammals;5;1;0,732844948768616;RULEXJ;mrb0s0ckbda9
Mammals;6;3;0,989683628082275;GCM;bkl2178x4saf
Mammals;7;3;0,965037643909454;GCM;s8hbr6g15kfh
Mammals;8;3;0,947163343429565;GCM;6wstjp4wezt4
Mammals;9;1;1,000000000000000;RULEXJ;9ohtsd1826k8
Mammals;10;3;0,834477186203003;GCM;p4km3aw4hdmt
Mammals;11;3;0,929023027420044;GCM;rixs8hohxtip
Mammals;12;3;0,793720960617065;GCM;d363es3nvfvq
Mammals;13;3;0,918040990829468;GCM;t6pxayhn7es0
Mammals;14;3;0,928774654865265;GCM;p8j3krfjtc18
Mammals;15;3;0,674819409847260;GCM;45v39tkqnh0b
Mammals;16;3;0,924428820610046;GCM;u9zfucz7zuwn
Mammals;17;3;0,517362117767334;GCM;oszy5gk8fkit
Mammals;18;3;0,896586418151855;GCM;4onztfuwyeet
Mammals;19;3;0,914431452751160;GCM;cpgixk1g8s99
Mammals;20;4;0,999452888965607;MAPP;wq9cvsm023n7
Mammals;21;3;0,914924204349518;GCM;uxc38enxb0sl
Mammals;22;4;0,999826014041901;MAPP;mo6b50e8cl78
Mammals;23;3;0,948401749134064;GCM;hzeafke8f5ke
Mammals;24;6;0,740871071815491;RGUESS;mr8c5sfjy7bc
Mammals;25;3;0,531454265117645;GCM;9g1zjvfjm5ie
Mammals;26;4;0,506980597972870;MAPP;9y9ydj97huhc
Mammals;27;3;0,927481174468994;GCM;tcrqt6ih5i2s
Mammals;28;3;0,916936755180359;GCM;pq5u101ioebi
Mammals;29;1;0,512184083461761;RULEXJ;jpx3htsbrf1n
Mammals;30;4;0,999942421913147;MAPP;bx2kflenfbbi
Mammals;31;4;0,871632993221283;MAPP;dm6c9jbelxv7
Mammals;32;6;0,967258453369141;RGUESS;34tcwd0j5qgq
Mammals;33;3;0,850630819797516;GCM;uyfz2oyo6483
Mammals;34;4;0,707760453224182;MAPP;xic5dq81cqld
Mammals;35;3;0,877622187137604;GCM;m7iifwqavf3f
Mammals;36;3;0,926181256771088;GCM;exre9dksey03
Mammals;37;3;0,758557140827179;GCM;yz6r3zc0isf5
Mammals;38;3;0,952651143074036;GCM;8f6bbs5a58p2
Mammals;39;4;0,920493185520172;MAPP;0xhc0yxm5czl
Mammals;40;3;0,886377632617950;GCM;uh7i5dewrmic
Mammals;41;3;0,755193829536438;GCM;wl5925o0j4iv
Mammals;42;6;0,897073805332184;RGUESS;a3eokjk1z75r
Mammals;43;3;0,882832765579224;GCM;tk04u7pmrsvp
Mammals;44;3;0,852368116378784;GCM;s2edlrqnhaz8
Mammals;45;3;0,816405713558197;GCM;2qewr80masfh
Mammals;46;3;0,943870961666107;GCM;xhkz4vsry78k
Mammals;47;4;0,943353176116943;MAPP;rsulb3mqq6p4
Mammals;48;3;0,979597032070160;GCM;u13d9hi208ge
