,RULEXJ,CAM,GCM,MAPP,QEst,RGuess
0,0.6249333620071411,0.0004831319092772901,0.36293327808380127,3.413712329347618e-05,2.17602149632512e-07,0.011615898460149765
1,0.9113026261329651,0.06480148434638977,0.016722775995731354,0.004447785206139088,5.569073437072802e-06,0.0027198749594390392
2,0.5285536050796509,0.21855652332305908,0.18942891061306,0.0013897405005991459,8.428406727034599e-05,0.06198694556951523
3,0.8985252976417542,0.10058572888374329,0.0008651422103866935,3.192071289959131e-06,1.7332016568616382e-06,1.8873146473197266e-05
4,0.5755923986434937,0.019357530400156975,0.0003364612639416009,0.0002217736328020692,1.5314657503040507e-05,0.404476523399353
5,0.43863970041275024,0.04017399251461029,0.3744937777519226,0.14465439319610596,8.729132969165221e-05,0.001950856065377593
6,0.1248103529214859,7.700793503317982e-05,0.8750143647193909,5.555636016651988e-05,3.232601102354238e-07,4.237018583808094e-05
7,0.12422778457403183,1.4877279681968503e-05,0.8746107816696167,0.0007021222845651209,9.015884074869973e-07,0.00044354869169183075
8,0.2089177817106247,0.0008940522675402462,0.6714057326316833,0.11714115738868713,3.5638160625239834e-05,0.0016056294552981853
9,0.969359815120697,0.002843326423317194,0.0015275867190212011,0.0009942433098331094,6.417089480237337e-06,0.025268716737627983
10,0.40712571144104004,0.00018400131375528872,0.5914022922515869,3.7877183785894886e-05,1.6311175841110526e-06,0.0012485008919611573
11,0.9618403911590576,0.03038533590734005,0.007757639512419701,1.337094204245659e-06,1.604438892854887e-07,1.5102021279744804e-05
12,0.18749623000621796,0.001941964728757739,0.5781095027923584,0.2318645417690277,3.102208938798867e-05,0.0005567006883211434
13,0.9225277900695801,0.023566776886582375,0.03639748692512512,0.004958977922797203,4.643024567485554e-06,0.012544343248009682
14,0.1566125899553299,8.750414417590946e-05,0.8423855900764465,0.0008820596267469227,1.824597717359211e-07,3.1984753150027245e-05
15,0.9821789860725403,0.0018901063594967127,1.129120573750697e-05,1.652830542298034e-05,6.577045041922247e-06,0.015896670520305634
16,0.5554531812667847,0.009211760945618153,0.3866833746433258,0.028635235503315926,2.673029484867584e-05,0.01998971588909626
17,0.3504384160041809,0.0007104530232027173,0.6109988689422607,0.013393333181738853,1.423380399501184e-05,0.024444712325930595
18,0.92681485414505,0.00028110938728787005,0.07186610251665115,0.0010020139161497355,5.029651219956577e-07,3.53650793840643e-05
19,0.9894591569900513,0.0003492446558084339,5.706391675630584e-06,2.964617067391373e-07,2.334974880113805e-09,0.010185535065829754
20,0.9704379439353943,0.021674977615475655,0.0010121108498424292,0.006664514075964689,1.5394495278542308e-07,0.00021031439246144146
21,0.9695742130279541,0.004596793092787266,0.02548840269446373,6.357797246892005e-05,7.00416990184749e-07,0.00027622125344350934
22,0.2585655152797699,0.0006622293731197715,3.459607114564278e-06,2.2616815840592608e-05,0.000549831660464406,0.7401963472366333
23,0.8755624294281006,0.00031909774406813085,0.11677867919206619,0.0031635556370019913,3.0019471068953862e-06,0.004173277877271175
24,0.5110249519348145,0.00012752646580338478,0.48872631788253784,2.049866998277139e-05,5.0735973644577825e-08,0.0001007203318295069
25,0.6208785176277161,0.004553145729005337,0.013323389925062656,9.231865988112986e-05,0.00013013134594075382,0.3610225319862366
26,0.08265408128499985,1.3376073184190318e-05,0.9166536331176758,0.00015099374286364764,1.6100922266559792e-06,0.0005262997001409531
27,0.10712210834026337,2.4898854462662712e-05,0.8886818289756775,0.0004892578581348062,2.166765170841245e-06,0.0036798054352402687
28,0.9864150881767273,0.007538392674177885,0.0006163750658743083,0.005310253240168095,2.2439726521383818e-08,0.00011979297414654866
29,0.39793577790260315,0.0008965674787759781,0.5883836150169373,0.012207064777612686,1.6042943116190145e-06,0.0005753912264481187
30,0.11990630626678467,0.00010623939306242391,0.8358875513076782,0.018968377262353897,2.1698717318940908e-05,0.025109924376010895
31,0.9595550894737244,0.002093570539727807,0.014801220037043095,0.02170717343688011,5.02583134220913e-07,0.0018425818998366594
32,0.15576663613319397,0.0016520769568160176,0.8425641059875488,6.611351636820473e-06,3.212335570879077e-07,1.025321125780465e-05
33,0.937351644039154,0.01545577310025692,0.046903595328330994,5.153425445314497e-05,6.965203283471055e-06,0.00023050521849654615
34,0.006068094167858362,0.007319672964513302,0.0004120780504308641,0.9861600995063782,1.093718182687553e-07,3.994486905867234e-05
35,0.07234770059585571,0.0068237921223044395,0.30202558636665344,0.01696939393877983,3.351962732267566e-05,0.6018000245094299
36,0.2027527391910553,0.05275872349739075,0.06572376191616058,0.6470810770988464,0.0003735962382052094,0.03131012246012688
37,0.8330598473548889,0.1637324094772339,0.0009049818618223071,0.0003335692163091153,4.808591143046215e-07,0.001968542579561472
38,0.09621761739253998,1.65552173712058e-05,0.8683278560638428,0.03453602269291878,9.117056833929382e-07,0.0009011101792566478
