ID,best_mod,n_runs,n_agree,alt_mod,n_alt,perc,domain,person
9,GCM,50,13,MAPP,35,26,Mammals,P10
10,GCM,50,50,NA,NA,100,Mammals,P11
11,GCM,50,22,RULEXJ,27,44,Mammals,P12
12,GCM,50,49,RULEXJ,1,98,Mammals,P13
13,GCM,50,42,MAPP,8,84,Mammals,P14
14,GCM,50,33,RGuess,14,66,Mammals,P15
15,GCM,50,32,MAPP,9,64,Mammals,P16
16,GCM,50,25,RULEXJ,14,50,Mammals,P17
17,GCM,50,49,MAPP,1,98,Mammals,P18
18,GCM,50,50,NA,NA,100,Mammals,P19
19,MAPP,50,45,GCM,4,90,Mammals,P20
20,GCM,50,33,RULEXJ,17,66,Mammals,P21
21,MAPP,50,50,NA,NA,100,Mammals,P22
22,GCM,50,50,NA,NA,100,Mammals,P23
23,RGuess,50,33,GCM,12,66,Mammals,P24
24,GCM,50,37,MAPP,12,74,Mammals,P25
25,MAPP,50,20,GCM,22,40,Mammals,P26
26,GCM,50,50,NA,NA,100,Mammals,P27
27,GCM,50,50,NA,NA,100,Mammals,P28
28,RULEXJ,50,5,GCM,43,10,Mammals,P29
29,MAPP,50,49,GCM,1,98,Mammals,P30
30,MAPP,50,43,GCM,7,86,Mammals,P31
31,RGuess,50,17,GCM,20,34,Mammals,P32
32,GCM,50,44,MAPP,6,88,Mammals,P33
33,MAPP,50,31,RGuess,17,62,Mammals,P34
34,GCM,50,33,RGuess,15,66,Mammals,P35
35,GCM,50,50,NA,NA,100,Mammals,P36
36,GCM,50,15,RULEXJ,30,30,Mammals,P37
37,GCM,50,50,NA,NA,100,Mammals,P38
38,MAPP,50,41,GCM,9,82,Mammals,P39
39,GCM,50,50,NA,NA,100,Mammals,P40
40,GCM,50,43,RULEXJ,7,86,Mammals,P41
41,RGuess,50,17,GCM,17,34,Mammals,P42
42,GCM,50,49,RULEXJ,1,98,Mammals,P43
43,GCM,50,50,NA,NA,100,Mammals,P44
44,GCM,50,44,MAPP,5,88,Mammals,P45
45,GCM,50,50,NA,NA,100,Mammals,P46
46,MAPP,50,50,NA,NA,100,Mammals,P47
47,GCM,50,50,NA,NA,100,Mammals,P48
