,RULEXJ,CAM,GCM,MAPP,QEst,RGuess
0,0.10941435396671295,0.07361488044261932,0.12974148988723755,0.010884502902626991,4.890726268058643e-05,0.6762958765029907
1,0.08116509020328522,0.815026581287384,0.09754408895969391,0.003507626010105014,0.000864740984980017,0.0018920040456578135
2,0.0004631261108443141,0.0001243782025994733,2.81853190244874e-05,0.998022198677063,0.001342126983217895,2.0001143639092334e-05
3,0.1972532570362091,0.286985844373703,0.5141462683677673,1.6238627722486854e-05,1.8833599824574776e-05,0.0015796084189787507
4,0.05910933017730713,0.9398898482322693,0.0008820046787150204,8.71859384687923e-09,1.9174180124537088e-05,9.966296056518331e-05
5,0.5469139218330383,0.32369357347488403,0.12923753261566162,1.158625673269853e-05,6.318456871667877e-05,8.027842704905197e-05
6,0.3172360956668854,0.32380151748657227,0.10440713167190552,5.246802538749762e-05,0.0025583826936781406,0.251944363117218
7,0.1480758637189865,0.013212350197136402,0.8382973074913025,5.6260974815813825e-05,2.548845941419131e-06,0.0003557046002242714
8,0.09406188875436783,0.9053589701652527,0.0005597425624728203,9.449302673658622e-09,1.2615580089914147e-05,6.776605914637912e-06
9,0.5054954290390015,0.12797391414642334,0.002410091459751129,0.3573352098464966,3.9541944829579734e-08,0.00678533548489213
10,0.12444446235895157,0.0019008179660886526,0.7293310761451721,0.14398010075092316,0.0003046139026992023,3.8829082768643275e-05
11,0.08569487929344177,0.7981064319610596,0.0004553637409117073,0.013726785778999329,0.10190287232398987,0.00011365413956809789
12,0.19256633520126343,0.4589441120624542,0.34768763184547424,8.563649316783994e-06,1.7144539015134797e-06,0.0007916894974187016
13,0.3446067273616791,0.6536367535591125,0.0013966840924695134,7.827818948591414e-11,0.0003511778777465224,8.657128091726918e-06
14,0.06491285562515259,0.00014297393499873579,0.9348291158676147,4.374009222374298e-06,1.801152575353626e-05,9.264605614589527e-05
15,0.0012192128924652934,0.0013114119647070765,0.000496726599521935,0.00023540545953437686,3.858140644297237e-06,0.9967334270477295
16,0.00187737587839365,0.0011726855300366879,0.00211477093398571,0.00035652201040647924,3.8155206993906177e-07,0.9944782257080078
17,0.9761263132095337,0.023864971473813057,8.029644050111528e-06,1.6132306601690516e-10,2.2361898999179175e-09,6.904872407176299e-07
18,0.040676798671483994,0.007482567336410284,0.27884170413017273,0.002948856446892023,3.948857556679286e-05,0.6700106263160706
19,0.007115645799785852,0.025090230628848076,0.002765117445960641,8.157244155881926e-05,4.002919013146311e-05,0.9649074077606201
20,0.011178499087691307,1.1722419003490359e-05,0.9887930750846863,2.741172465903219e-06,4.800014252737128e-08,1.4002456737216562e-05
21,0.11015873402357101,0.2375289797782898,0.0013341689482331276,6.827316155977314e-06,0.0004374809213913977,0.6505337357521057
22,0.2856389582157135,0.3774287700653076,0.11363231390714645,0.0001553950714878738,0.00010762581950984895,0.22303690016269684
23,0.09332595020532608,0.03626333549618721,0.021963991224765778,0.0011925657745450735,1.4517843737849034e-05,0.8472396731376648
24,0.6281076669692993,0.37169066071510315,5.980232890578918e-05,3.0520905056619085e-06,8.180359856169162e-08,0.00013865790970157832
25,0.27227047085762024,0.5832951068878174,0.14411906898021698,3.298031515441835e-05,0.00015533054829575121,0.000127063351101242
26,0.6861591339111328,0.09958207607269287,0.024371303617954254,0.0062552704475820065,0.18318237364292145,0.00044987566070631146
27,0.006272333674132824,0.009171216748654842,0.004152288194745779,0.00014028319856151938,3.027065577043686e-05,0.9802336096763611
28,0.5989261269569397,0.0013273470103740692,0.39950841665267944,7.981412636581808e-05,3.5322130997883505e-08,0.00015831210475880653
29,0.40868088603019714,0.5786798596382141,0.008662983775138855,3.3954293598981167e-07,0.0023196469992399216,0.001656256034038961
30,0.11890442669391632,0.11685285717248917,0.012877232395112514,0.0683535560965538,0.0001406187511747703,0.6828713417053223
31,0.05256161838769913,3.128008756903e-05,0.9473881125450134,1.7530766854179092e-05,1.1007592348732942e-07,1.3996078678246704e-06
32,0.23175567388534546,0.18876510858535767,0.4561956226825714,0.00047041403013281524,0.00019210057507734746,0.12262111157178879
33,0.0211966410279274,0.04096883907914162,0.009291623719036579,0.000214041443541646,0.00015081542369443923,0.928178071975708
34,0.1675298511981964,0.013031098060309887,0.804706871509552,7.980440568644553e-05,0.00014101993292570114,0.014511428773403168
35,0.11403067409992218,0.868390679359436,0.010518494993448257,1.734420766297262e-05,9.734884952194989e-05,0.006945485714823008
36,0.11243422329425812,0.002006681403145194,0.8840664625167847,6.339225365081802e-05,2.6344045181758702e-05,0.0014028307050466537
37,0.00314045581035316,0.001955883577466011,0.007699590176343918,0.00012167327076895162,1.1479999557195697e-05,0.9870708584785461
38,0.5559786558151245,0.1859063059091568,0.23229318857192993,0.001546120154671371,0.009750607423484325,0.014525068923830986
39,0.18634963035583496,0.7776619791984558,0.020785650238394737,4.1884832171490416e-05,4.528791396296583e-05,0.015115441754460335
40,0.2079513669013977,0.0008267569355666637,0.79118412733078,1.4021590004631435e-06,1.346491899312241e-05,2.2822896426077932e-05
41,0.1160629615187645,0.8610606789588928,0.020885825157165527,5.3619260143022984e-06,4.4826916564488783e-05,0.0019404179183766246
42,0.19741597771644592,0.74165278673172,0.05935416370630264,2.0452118860703195e-06,3.732822005986236e-05,0.0015376658411696553
43,0.5474802851676941,0.09015445411205292,0.36233440041542053,5.599170890491223e-06,5.2585846788133495e-06,1.9900824554497376e-05
44,0.14104734361171722,0.27065378427505493,0.5627557039260864,0.0003294902271591127,3.048965118068736e-05,0.025183159857988358
45,0.10995706915855408,0.0019897213205695152,0.8513086438179016,2.3614375095348805e-06,0.03672727197408676,1.5048286513774656e-05
